"Countryname","Country"," ","EMERGING_RISK_COVID_RESPONSE_CAPACITY_AV","EMERGING_RISK_MACROECONOMIC_EXPOSURE_TO_COVID_AV","EMERGING_RISK_FRAGILITY_INSTITUTIONS_AV","  ","EMERGING_RISK_FRAGILITY_INSTITUTIONS_MULTIDIMENSIONAL_SQ","EMERGING_RISK_FRAGILITY_INSTITUTIONS_MULTIDIMENSIONAL","   ","EMERGING_RISK_COVID_RESPONSE_CAPACITY_SQ_ALT","EMERGING_RISK_COVID_RESPONSE_CAPACITY_SQ","EMERGING_RISK_COVID_RESPONSE_CAPACITY_SQ_SQ","EMERGING_RISK_FOOD_SECURITY_SQ","EMERGING_RISK_MACROECONOMIC_EXPOSURE_TO_COVID_SQ","EMERGING_RISK_FISCAL_SQ","EMERGING_RISK_NATURAL_HAZARDS_SQ","EMERGING_RISK_FRAGILITY_INSTITUTIONS_SQ","    ","TOTAL_EMERGING_COMPOUND_RISK_SCORE_SQ"
"Saint Kitts and Nevis","KNA",NA,0.0258198889747319,10,0.550888613994947,NA,1.29299157305672,1.29299157305672,NA,0.000666666666667481,0.0764198926982179,0.0764198926982179,4.88210176980187,6.39535478701396,10,2.06790741111334,0.167182720799568,NA,1
"Korea Republic of","KOR",NA,1.45480641391406,2.43972740266807,3.47146276075151,NA,1.72161969489286,4.40150194515683,NA,7.19009950308042,8.50744046172975,8.47944544358911,2.19937110359534,0.990647563410435,10,0,2.23341736724269,NA,2
"Kuwait","KWT",NA,3.56331251930746,3.30319150455265,2.17963160742749,NA,7.09935767510761,8.55374924659169,NA,6.90065559342353,6.91375440697744,5.74326855863144,0.978770501852969,0,10,0,7.53261189265895,NA,2
"Lao PDR","LAO",NA,0.104893816562503,4.30589283956185,1.7797963298532,NA,7.77115405387102,8.34236190358689,NA,0.138013111868494,5.06152621439892,0.861690513962232,5.12717137569139,6.02177510650062,4.69041575982343,5.33653525448603,7.50358437854874,NA,1
"Lebanon","LBN",NA,2.92147217487074,6.52294267545939,2.48735602191785,NA,7.67681581279471,6.98287701203703,NA,4.87950036474266,7.3348483283569,5.12364245067076,5.80793056228016,10,9.2,3.22860382896405,6.4150244702291,NA,3
"Liberia","LBR",NA,0.220021999736594,2.12381072771678,2.04716939737349,NA,9.33844095479787,9.53187101142692,NA,2.68354423060831,5.7652489311473,4.32794855903418,2.36417033773862,9.78754372503937,0,5.04302581548929,9.31514758961977,NA,2
"Libya","LBY",NA,4.36093372637666,10,1.60800780774854,NA,9.0424924152574,8.17666690799876,NA,3.16227766016838,9.41275730060007,5.29318241411458,2.22042276040793,10,10,0,8.17666690799876,NA,4
"Saint Lucia","LCA",NA,0.0258198889747319,10,1.00193183890515,NA,3.1714456008731,3.1714456008731,NA,0.000666666666667481,0.0680196050170267,0.0680196050170267,NA,10,10,2.06790741111334,1.00580671992973,NA,2
"Liechtenstein","LIE",NA,0.177780501239554,NA,1,NA,1,1,NA,1.4984,2.81807026172166,2.81807026172166,NA,NA,NA,NA,0,NA,0
"Sri Lanka","LKA",NA,0.565614728541064,3.96699368208308,2.0141006138667,NA,7.46828373356221,7.05319455733056,NA,1.28607931326182,8.4970583144992,3.04721063298065,4.45278018189023,5.04087819384714,10,2.52151290774465,8.38400668916173,NA,3
"Lesotho","LSO",NA,3.40685873720877,7.15475366122891,2.77452763352521,NA,8.90851638142447,8.89449594078419,NA,6.90065559342353,8.92188320927819,7.41142486460271,10,8.05375576490489,8.36660026534076,10,9.44592977030791,NA,6
"Lithuania","LTU",NA,1.10186494373608,5.58317957130215,1.17173161495564,NA,4.44649956891338,8.38870492807861,NA,5.280872943711,5.34522483824848,3.98027873786912,2.57151650613631,3.00093793968213,10,0,4.07254333042655,NA,1
"Luxembourg","LUX",NA,0.489702538787236,7.24077988767653,0.576967297490148,NA,1.26710085219056,1.60554456962205,NA,3.16227766016838,7.23878442834154,4.07066762820085,0,0,0,0,0,NA,1
"Latvia","LVA",NA,1.22184563098585,8.56264182480655,1.18927388123095,NA,4.7535079878034,8.38870492807861,NA,7.96819072889594,3.67747325263005,3.3637524931291,1.37573511854182,5.47893801078994,10,0,4.35373195292784,NA,1
"Morocco","MAR",NA,3.47051350004683,5.73150534739045,3.51446331238174,NA,6.63684791613029,6.97835144597737,NA,8.45154254728515,7.2525857457875,6.6674668202189,1.1705406878278,6.48534832758675,10,4.09579080781802,6.83783414788557,NA,2
"Moldova Republic of","MDA",NA,2.67621111903312,7.39423992052428,1.14468767127012,NA,3.70875923019927,3.70875923019927,NA,4.87950036474266,7.36206492772238,5.14265417628924,0,5.99223220248612,4.89897948556636,0,1.71052631578947,NA,1
"Madagascar","MDG",NA,0.831172943327443,5.91985797708059,6.56749330873413,NA,7.77285928804173,7.99891563675982,NA,1.31330190922038,5.3363086938623,2.80241778062049,7.52464862597021,8.1095056589395,6.03324125159934,5.02968447735308,7.68175165640222,NA,3
"Maldives","MDV",NA,2.26780871068296,4.75271369772873,3.82868298120999,NA,8.30804243029422,10,NA,10,8.50881895447306,8.50881895447306,2.10977627331644,6.36595070120766,10,0.026682676272431,8.30804243029422,NA,3
"Mexico","MEX",NA,3.47587023549541,2.64382968861732,2.80020755054028,NA,7.36295333160132,8.94515849095093,NA,4.87950036474266,4.97995983919549,3.47867229048121,3.25829697810578,4.46838161034563,10,10,7.78498944161523,NA,3
"Marshall Islands","MHL",NA,NA,1.84615384615384,0.355762672605408,NA,0.810427434350815,0.810427434350815,NA,NA,NA,NA,NA,4.29668924423659,3.2,0.213461410179441,0.355762672605408,NA,0
"North Macedonia","MKD",NA,2.47777359338634,7.00138808553046,1.33512440911938,NA,4.43280101036451,4.43280101036451,NA,10,7.86129760281342,7.86129760281342,2.97380977608324,4.05214484048208,9.2,0,2.37993561211819,NA,2
"Mali","MLI",NA,1.42107680227689,4.61035025132403,10,NA,9.91344448595887,9.82763815761883,NA,8.16496580927726,9.05538513813742,8.18246415427978,6.76945668135096,9.82763815761882,8.36660026534076,6.60396237742646,10,NA,4
"Malta","MLT",NA,2.23233386351737,7.15673890417983,1.39136883631101,NA,4.30153549657895,6.10605851734848,NA,10,8.08702664766229,8.08702664766229,0,6.42342612136045,10,0,3.8197313941796,NA,2
"Myanmar","MMR",NA,3.34009906578231,5.26245319363041,1.88542265013058,NA,7.99185307814015,6.59753106431028,NA,10,7.29383301152419,7.29383301152419,8.41506964493976,6.11055723323081,2.68328157299975,10,7.41959955353983,NA,4
"Montenegro","MNE",NA,4.90538553276286,9.41902880173836,1.87569570149657,NA,6.48749120134602,10,NA,10,7.2525857457875,7.2525857457875,1.80643685262925,9.64666581523607,10,0,6.48749120134602,NA,3
"Mongolia","MNG",NA,0.142455192072281,6.00644862160693,3.70751509901091,NA,6.98573566609361,8.28214247461149,NA,0.29664793948384,6.40312423743285,1.10284022046883,4.7074702911837,6.66328885231586,10,0,7.67610310786397,NA,2
